stage_id,ranking,rider_time,rider_name,rider_country,rider_team,rider_age
17,78,9669,Julien Simon,France,Cofidis,32
17,79,9698,Jack Bauer,New Zealand,Mitchelton-Scott,33
17,80,9724,Edward Theuns,Belgium,Team Sunweb,27
17,81,9726,Yves Lampaert,Belgium,Quick-Step Floors,27
17,82,9728,Jérôme Cousin,France,Direct Énergie,29
17,83,9732,Anthony Turgis,France,Cofidis,24
17,84,9742,Tomasz Marczynski,Poland,Lotto-Soudal,34
17,85,9750,Silvan Dillier,Switzerland,AG2R La Mondiale,27
17,86,9791,Jay Thomson,South Africa,Team Dimension Data,32
17,87,9791,Daryl Impey,South Africa,Mitchelton-Scott,31
17,88,9810,Andrea Pasqualon,Italy,Wanty-Groupe Gobert,30
17,89,9819,Tom-Jelte Slagter,Netherlands,Team Dimension Data,29
17,90,9827,Thomas Boudat,France,Direct Énergie,24
17,91,9873,Florian Vachon,France,Fortuneo-Samsic,33
17,92,9873,Laurent Pichon,France,Fortuneo-Samsic,31
17,93,9875,Romain Hardy,France,Fortuneo-Samsic,29
17,94,9875,Amaël Moinard,France,Fortuneo-Samsic,36
17,95,9875,Élie Gesbert,France,Fortuneo-Samsic,23
17,96,9889,Dimitri Claeys,Belgium,Cofidis,31
17,97,9895,Simon Gerrans,Australia,BMC Racing Team,38
17,98,9895,Luke Durbridge,Australia,Mitchelton-Scott,27
17,99,9895,Dion Smith,New Zealand,Wanty-Groupe Gobert,25
17,100,9895,Marco Marcato,Italy,UAE Team Emirates,34
17,101,9895,Reinardt Janse Van Rensburg,South Africa,Team Dimension Data,29
17,102,9936,Olivier Le Gac,France,Groupama-FDJ,24
17,103,9958,Nils Politt,Germany,Team Katusha-Alpecin,24
17,104,9963,Magnus Cort Nielsen,Denmark,Astana,25
17,105,9963,Søren Kragh Andersen,Denmark,Team Sunweb,23
17,106,9966,Timo Roosen,Netherlands,LottoNL-Jumbo,25
17,107,9970,Simon Clarke,Australia,EF Education First-Drapac p/b Cannondale,31
17,108,10009,Damien Gaudin,France,Direct Énergie,31
17,109,10012,Toms Skujins,Latvia,Trek-Segafredo,27
17,110,10012,Edvald Boasson Hagen,Norway,Team Dimension Data,31
17,111,10016,Luke Rowe,Great Britain,Team Sky,28
17,112,10019,Sonny Colbrelli,Italy,Bahrain-Merida,28
17,113,10035,Oliviero Troia,Italy,UAE Team Emirates,23
17,114,10035,Daniel Oss,Italy,Bora-Hansgrohe,31
17,115,10035,Jasper De Buyst,Belgium,Lotto-Soudal,24
17,116,10035,Thomas De Gendt,Belgium,Lotto-Soudal,31
17,117,10035,Koen De Kort,Netherlands,Trek-Segafredo,35
17,118,10035,Fabien Grellier,France,Direct Énergie,23
17,119,10035,Sep Vanmarcke,Belgium,EF Education First-Drapac p/b Cannondale,29
17,120,10035,John Degenkolb,Germany,Trek-Segafredo,29
17,121,10035,Mathew Hayman,Australia,Mitchelton-Scott,40
17,122,10035,Taylor Phinney,United States,EF Education First-Drapac p/b Cannondale,28
17,123,10035,Heinrich Haussler,Australia,Bahrain-Merida,34
17,124,10035,Tom Scully,New Zealand,EF Education First-Drapac p/b Cannondale,28
17,125,10035,Lawson Craddock,United States,EF Education First-Drapac p/b Cannondale,26
17,126,10035,Andrey Amador,Costa Rica,Movistar Team,31
17,127,10035,Daniele Bennati,Italy,Movistar Team,37
17,128,10035,Pawel Poljanski,Poland,Bora-Hansgrohe,28
17,129,10048,Amund Grøndahl Jansen ,Norway,LottoNL-Jumbo,24
17,130,10061,Niki Terpstra,Netherlands,Quick-Step Floors,34
17,131,10069,Lukas Pöstlberger,Austria,Bora-Hansgrohe,26
17,132,10069,Michael Gogl,Austria,Trek-Segafredo,24
17,133,10069,Kristijan Koren,Slovenia,Bahrain-Merida,31
17,134,10076,Peter Sagan,Slovakia,Bora-Hansgrohe,28
17,135,10076,Marcus Burghardt,Germany,Bora-Hansgrohe,35
17,136,10086,Maciej Bodnar,Poland,Bora-Hansgrohe,33
17,137,10125,Roberto Ferrari,Italy,UAE Team Emirates,35
17,138,10130,Alexander Kristoff,Norway,UAE Team Emirates,31
17,139,10143,Christophe Laporte,France,Cofidis,25
17,140,10159,Jacopo Guarnieri,Italy,Groupama-FDJ,30
17,141,10168,Maximiliano Richeze,Argentina,Quick-Step Floors,35
17,142,10193,Timothy Dupont,Belgium,Wanty-Groupe Gobert,30
17,143,10197,Ramon Sinkeldam,Netherlands,Groupama-FDJ,29
17,144,10226,Jelle Vanendert,Belgium,Lotto-Soudal,33
17,145,10243,Arnaud Démare,France,Groupama-FDJ,26
17,146,10377,Michael Hepburn,Australia,Mitchelton-Scott,26
18,1,13610,Arnaud Démare,France,Groupama-FDJ,26
18,2,13610,Christophe Laporte,France,Cofidis,25
18,3,13610,Alexander Kristoff,Norway,UAE Team Emirates,31
18,4,13610,Edvald Boasson Hagen,Norway,Team Dimension Data,31
18,5,13610,Sonny Colbrelli,Italy,Bahrain-Merida,28
18,6,13610,Maximiliano Richeze,Argentina,Quick-Step Floors,35
18,7,13610,John Degenkolb,Germany,Trek-Segafredo,29
18,8,13610,Peter Sagan,Slovakia,Bora-Hansgrohe,28
18,9,13610,Taylor Phinney,United States,EF Education First-Drapac p/b Cannondale,28
18,10,13610,Timothy Dupont,Belgium,Wanty-Groupe Gobert,30
18,11,13610,Yves Lampaert,Belgium,Quick-Step Floors,27
18,12,13610,Jasper De Buyst,Belgium,Lotto-Soudal,24
18,13,13610,Oliver Naesen,Belgium,AG2R La Mondiale,27
18,14,13610,Reinardt Janse Van Rensburg,South Africa,Team Dimension Data,29
18,15,13610,Jacopo Guarnieri,Italy,Groupama-FDJ,30
18,16,13610,Michael Hepburn,Australia,Mitchelton-Scott,26
18,17,13610,Andrea Pasqualon,Italy,Wanty-Groupe Gobert,30
18,18,13610,Lilian Calmejane,France,Direct Énergie,25
18,19,13610,Nils Politt,Germany,Team Katusha-Alpecin,24
18,20,13610,Magnus Cort Nielsen,Denmark,Astana,25
18,21,13610,Kevin Ledanois,France,Fortuneo-Samsic,24
18,22,13610,Michael Schär,Switzerland,BMC Racing Team,31
18,23,13610,Jérôme Cousin,France,Direct Énergie,29
18,24,13610,Koen De Kort,Netherlands,Trek-Segafredo,35
18,25,13610,Greg Van Avermaet,Belgium,BMC Racing Team,33
18,26,13610,Stefan Küng,Switzerland,BMC Racing Team,24
18,27,13610,Tom Dumoulin,Netherlands,Team Sunweb,27
18,28,13610,Jasper Stuyven,Belgium,Trek-Segafredo,26
18,29,13610,Sylvain Chavanel,France,Direct Énergie,39
18,30,13610,Michal Kwiatkowski,Poland,Team Sky,28
18,31,13610,Geraint Thomas,Great Britain,Team Sky,32
18,32,13610,Daniele Bennati,Italy,Movistar Team,37
18,33,13610,Chris Froome,Great Britain,Team Sky,33
18,34,13610,Domenico Pozzovivo,Italy,Bahrain-Merida,35
18,35,13610,Jack Bauer,New Zealand,Mitchelton-Scott,33
18,36,13610,Edward Theuns,Belgium,Team Sunweb,27
18,37,13610,Mikel Landa,Spain,Movistar Team,28
18,38,13610,Romain Bardet,France,AG2R La Mondiale,27
18,39,13610,Rudy Molard,France,Groupama-FDJ,28
18,40,13610,Timo Roosen,Netherlands,LottoNL-Jumbo,25
18,41,13610,Paul Martens,Germany,LottoNL-Jumbo,34
18,42,13610,Primoz Roglic,Slovenia,LottoNL-Jumbo,28
18,43,13610,Pierre Latour,France,AG2R La Mondiale,24
18,44,13610,Alejandro Valverde,Spain,Movistar Team,38
18,45,13610,Jakob Fuglsang,Denmark,Astana,33
18,46,13610,Nairo Quintana,Colombia,Movistar Team,28
18,47,13610,Daniel Martin,Ireland,UAE Team Emirates,31
18,48,13610,Ilnur Zakarin,Russia,Team Katusha-Alpecin,28
18,49,13610,Amund Grøndahl Jansen ,Norway,LottoNL-Jumbo,24
18,50,13610,Tejay Van Garderen,United States,BMC Racing Team,29
18,51,13610,Steven Kruijswijk,Netherlands,LottoNL-Jumbo,31
18,52,13610,Guillaume Martin,France,Wanty-Groupe Gobert,25
18,53,13610,Tanel Kangert,Estonia,Astana,31
18,54,13610,Silvan Dillier,Switzerland,AG2R La Mondiale,27
18,55,13610,Bob Jungels,Luxembourg,Quick-Step Floors,25
18,56,13610,Warren Barguil,France,Fortuneo-Samsic,26
18,57,13610,Arthur Vichot,France,Groupama-FDJ,29
18,58,13610,Kristijan Ðurasek,Croatia,UAE Team Emirates,30
18,59,13610,Robert Gesink,Netherlands,LottoNL-Jumbo,32
18,60,13610,Egan Bernal,Colombia,Team Sky,21
18,61,13610,Bauke Mollema,Netherlands,Trek-Segafredo,31
18,62,13610,Imanol Erviti,Spain,Movistar Team,34
18,63,13610,Dion Smith,New Zealand,Wanty-Groupe Gobert,25
18,64,13610,Nikias Arndt,Germany,Team Sunweb,26
18,65,13610,Anthony Turgis,France,Cofidis,24
18,66,13610,Søren Kragh Andersen,Denmark,Team Sunweb,23
18,67,13610,Julien Bernard,France,Trek-Segafredo,26
18,68,13610,Pavel Kochetkov,Russia,Team Katusha-Alpecin,32
18,69,13610,Laurens Ten Dam,Netherlands,Team Sunweb,37
18,70,13610,Andrey Amador,Costa Rica,Movistar Team,31
18,71,13610,Simon Geschke,Germany,Team Sunweb,32
18,72,13610,Maxime Bouet,France,Fortuneo-Samsic,31
18,73,13610,Laurent Pichon,France,Fortuneo-Samsic,31
18,74,13610,Jay Thomson,South Africa,Team Dimension Data,32
18,75,13610,Amaël Moinard,France,Fortuneo-Samsic,36
18,76,13610,Maciej Bodnar,Poland,Bora-Hansgrohe,33
18,77,13610,Yoann Offredo,France,Wanty-Groupe Gobert,31
18,78,13610,Mathias Frank,Switzerland,AG2R La Mondiale,31
18,79,13610,Thomas Degand,Belgium,Wanty-Groupe Gobert,32
18,80,13610,Marco Minnaard,Netherlands,Wanty-Groupe Gobert,29
18,81,13610,Julien Vermote,Belgium,Team Dimension Data,28
18,82,13610,Julien Simon,France,Cofidis,32
18,83,13610,Heinrich Haussler,Australia,Bahrain-Merida,34
18,84,13610,Daryl Impey,South Africa,Mitchelton-Scott,31
18,85,13610,Simon Gerrans,Australia,BMC Racing Team,38
18,86,13610,Kristijan Koren,Slovenia,Bahrain-Merida,31
18,87,13610,Luke Rowe,Great Britain,Team Sky,28
18,88,13610,Daniel Oss,Italy,Bora-Hansgrohe,31
18,89,13610,David Gaudu,France,Groupama-FDJ,21
18,90,13662,Oliviero Troia,Italy,UAE Team Emirates,23
18,91,13671,Roberto Ferrari,Italy,UAE Team Emirates,35
18,92,13673,Tom Scully,New Zealand,EF Education First-Drapac p/b Cannondale,28
18,93,13673,Toms Skujins,Latvia,Trek-Segafredo,27
18,94,13673,Sep Vanmarcke,Belgium,EF Education First-Drapac p/b Cannondale,29
18,95,13678,Ramon Sinkeldam,Netherlands,Groupama-FDJ,29
18,96,13680,Guillaume Van Keirsbulck,Belgium,Wanty-Groupe Gobert,27
18,97,13683,Damiano Caruso,Italy,BMC Racing Team,30
18,98,13687,Chad Haga,United States,Team Sunweb,29
18,99,13689,Michael Valgren,Denmark,Astana,26
18,100,13689,Pierre Rolland,France,EF Education First-Drapac p/b Cannondale,31
18,101,13689,Dimitri Claeys,Belgium,Cofidis,31
18,102,13693,Marcus Burghardt,Germany,Bora-Hansgrohe,35
18,103,13700,Florian Vachon,France,Fortuneo-Samsic,33
18,104,13723,Daniel Felipe Martínez,Colombia,EF Education First-Drapac p/b Cannondale,22
18,105,13723,Tomasz Marczynski,Poland,Lotto-Soudal,34
18,106,13723,Romain Hardy,France,Fortuneo-Samsic,29
18,107,13733,Michael Gogl,Austria,Trek-Segafredo,24
